pclass,sex,age_orig,age_imp_mice,age_imp_rf,sibsp,parch,fare,embarked,boat_na,title,deck_orig,deck_imp_mice,deck_imp_rf,survived
1,female,29,29,29,0,0,211.3375,S,1,Miss,2,B,B,1
1,male,0.9167,0.9167,0.9167,1,2,151.55,S,1,Master,3,C,C,1
1,female,2,2,2,1,2,151.55,S,0,Miss,3,C,C,0
1,male,30,30,30,1,2,151.55,S,0,Mr,3,C,C,0
1,female,25,25,25,1,2,151.55,S,0,Mrs,3,C,C,0
1,male,48,48,48,0,0,26.55,S,1,Mr,5,E,E,1
1,female,63,63,63,1,0,77.9583,S,1,Miss,4,D,D,1
1,male,39,39,39,0,0,0,S,0,Mr,1,A,A,0
1,female,53,53,53,2,0,51.4792,S,1,Mrs,3,C,C,1
1,male,71,71,71,0,0,49.5042,C,0,Mr,,A,B,0
1,male,47,47,47,1,0,227.525,C,0,rare_title,3,C,C,0
1,female,18,18,18,1,0,227.525,C,1,Mrs,3,C,C,1
1,female,24,24,24,0,0,69.3,C,1,Mrs,2,B,B,1
1,female,26,26,26,0,0,78.85,S,1,Miss,,B,C,1
1,male,80,80,80,0,0,30,S,1,Mr,1,A,A,1
1,male,,46.97464334,46,0,0,25.925,S,0,Mr,,A,D,0
1,male,24,24,24,0,1,247.5208,C,0,Mr,2,B,B,0
1,female,50,50,50,0,1,247.5208,C,1,Mrs,2,B,B,1
1,female,32,32,32,0,0,76.2917,C,1,Miss,4,D,D,1
1,male,36,36,36,0,0,75.2417,C,1,Mr,3,C,C,0
1,male,37,37,37,1,1,52.5542,S,1,Mr,4,D,D,1
1,female,47,47,47,1,1,52.5542,S,1,Mrs,4,D,D,1
1,male,26,26,26,0,0,30,C,1,Mr,3,C,C,1
1,female,42,42,42,0,0,227.525,C,1,Miss,,C,C,1
1,female,29,29,29,0,0,221.7792,S,1,Miss,3,C,C,1
1,male,25,25,25,0,0,26,C,0,Mr,,D,C,0
1,male,25,25,25,1,0,91.0792,C,1,Mr,2,B,B,1
1,female,19,19,19,1,0,91.0792,C,1,Mrs,2,B,B,1
1,female,35,35,35,0,0,135.6333,S,1,Miss,3,C,C,1
1,male,28,28,28,0,0,26.55,S,1,Mr,3,C,C,1
1,male,45,45,45,0,0,35.5,S,0,Mr,8,T,T,0
1,male,40,40,40,0,0,31,C,1,Mr,1,A,A,1
1,female,30,30,30,0,0,164.8667,S,1,Miss,3,C,C,1
1,female,58,58,58,0,0,26.55,S,1,Miss,3,C,C,1
1,male,42,42,42,0,0,26.55,S,0,Mr,4,D,D,0
1,female,45,45,45,0,0,262.375,C,1,Miss,,B,B,1
1,female,22,22,22,0,1,55,S,1,Miss,5,E,E,1
1,male,,43.39481962,46.4,0,0,26.55,S,1,Mr,,E,E,1
1,male,41,41,41,0,0,30.5,S,0,Mr,1,A,A,0
1,male,48,48,48,0,0,50.4958,C,0,Mr,2,B,B,0
1,male,,48.85922144,41.7,0,0,39.6,C,0,rare_title,,A,B,0
1,female,44,44,44,0,0,27.7208,C,1,Mrs,2,B,B,1
1,female,59,59,59,2,0,51.4792,S,1,Mrs,3,C,C,1
1,female,60,60,60,0,0,76.2917,C,1,Mrs,4,D,D,1
1,female,41,41,41,0,0,134.5,C,1,Miss,5,E,E,1
1,male,45,45,45,0,0,26.55,S,0,rare_title,2,B,B,0
1,male,,46.50318088,57.2,0,0,31,S,0,Mr,,C,C,0
1,male,42,42,42,0,0,26.2875,S,1,Mr,5,E,E,1
1,female,53,53,53,0,0,27.4458,C,1,Mrs,,B,B,1
1,male,36,36,36,0,1,512.3292,C,1,Mr,2,B,B,1
1,female,58,58,58,0,1,512.3292,C,1,Mrs,2,B,B,1
1,male,33,33,33,0,0,5,S,0,Mr,2,B,B,0
1,male,28,28,28,0,0,47.1,S,0,Mr,,A,C,0
1,male,17,17,17,0,0,47.1,S,0,Mr,,D,C,0
1,male,11,11,11,1,2,120,S,1,Master,2,B,B,1
1,female,14,14,14,1,2,120,S,1,Miss,2,B,B,1
1,male,36,36,36,1,2,120,S,1,Mr,2,B,B,1
1,female,36,36,36,1,2,120,S,1,Mrs,2,B,B,1
1,male,49,49,49,0,0,26,S,0,Mr,,E,E,0
1,female,,45.80355574,55,0,0,27.7208,C,1,Mrs,,B,B,1
1,male,36,36,36,1,0,78.85,S,0,Mr,3,C,C,0
1,female,76,76,76,1,0,78.85,S,1,Mrs,3,C,C,1
1,male,46,46,46,1,0,61.175,S,0,Mr,5,E,E,0
1,female,47,47,47,1,0,61.175,S,1,Mrs,5,E,E,1
1,male,27,27,27,1,0,53.1,S,1,Mr,5,E,E,1
1,female,33,33,33,1,0,53.1,S,1,Mrs,5,E,E,1
1,female,36,36,36,0,0,262.375,C,1,Miss,2,B,B,1
1,female,30,30,30,0,0,86.5,S,1,Miss,2,B,B,1
1,male,45,45,45,0,0,29.7,C,1,Mr,1,A,A,1
1,female,,45.24575652,48.7,0,1,55,S,1,Mrs,5,E,E,1
1,male,,40.93137099,39,0,0,0,S,0,Mr,,B,A,0
1,male,27,27,27,1,0,136.7792,C,0,Mr,3,C,C,0
1,female,26,26,26,1,0,136.7792,C,1,Mrs,3,C,C,1
1,female,22,22,22,0,0,151.55,S,1,Miss,,B,C,1
1,male,,43.44599641,31,0,0,52,S,0,Mr,1,A,A,0
1,male,47,47,47,0,0,25.5875,S,0,Mr,5,E,E,0
1,female,39,39,39,1,1,83.1583,C,1,Miss,5,E,E,1
1,male,37,37,37,1,1,83.1583,C,0,Mr,5,E,E,0
1,female,64,64,64,0,2,83.1583,C,1,Mrs,5,E,E,1
1,female,55,55,55,2,0,25.7,S,1,Mrs,3,C,C,1
1,male,,46.58061304,62,0,0,26.55,S,0,Mr,,C,C,0
1,male,70,70,70,1,1,71,S,0,rare_title,2,B,B,0
1,female,36,36,36,0,2,71,S,1,Miss,2,B,B,1
1,female,64,64,64,1,1,26.55,S,1,Mrs,2,B,B,1
1,male,39,39,39,1,0,71.2833,C,0,Mr,3,C,C,0
1,female,38,38,38,1,0,71.2833,C,1,Mrs,3,C,C,1
1,male,51,51,51,0,0,26.55,S,1,Mr,5,E,E,1
1,male,27,27,27,0,0,30.5,S,1,Mr,,C,C,1
1,female,33,33,33,0,0,151.55,S,1,Miss,,C,C,1
1,male,31,31,31,1,0,52,S,0,Mr,2,B,B,0
1,female,27,27,27,1,2,52,S,1,Mrs,2,B,B,1
1,male,31,31,31,1,0,57,S,1,Mr,2,B,B,1
1,female,17,17,17,1,0,57,S,1,Mrs,2,B,B,1
1,male,53,53,53,1,1,81.8583,S,1,rare_title,1,A,A,1
1,male,4,4,4,0,2,81.8583,S,1,Master,1,A,A,1
1,female,54,54,54,1,1,81.8583,S,1,Mrs,1,A,A,1
1,male,50,50,50,1,0,106.425,C,0,Mr,3,C,C,0
1,female,27,27,27,1,1,247.5208,C,1,Mrs,2,B,B,1
1,female,48,48,48,1,0,106.425,C,1,Mrs,3,C,C,1
1,female,48,48,48,1,0,39.6,C,1,rare_title,1,A,A,1
1,male,49,49,49,1,0,56.9292,C,1,rare_title,1,A,A,1
1,male,39,39,39,0,0,29.7,C,0,Mr,1,A,A,0
1,female,23,23,23,0,1,83.1583,C,1,Mrs,3,C,C,1
1,female,38,38,38,0,0,227.525,C,1,Miss,3,C,C,1
1,female,54,54,54,1,0,78.2667,C,1,Miss,4,D,D,1
1,female,36,36,36,0,0,31.6792,C,0,Miss,1,A,A,0
1,male,,47.70941549,43.9,0,0,221.7792,S,0,Mr,3,C,C,0
1,female,,46.13665195,50.8,0,0,31.6833,S,1,Mrs,,D,D,1
1,female,,31.87395642,30.6,0,0,110.8833,C,1,Miss,,C,D,1
1,male,36,36,36,0,0,26.3875,S,1,Mr,5,E,E,1
1,male,30,30,30,0,0,27.75,C,0,Mr,3,C,C,0
1,female,24,24,24,3,2,263,S,1,Miss,3,C,C,1
1,female,28,28,28,3,2,263,S,1,Miss,3,C,C,1
1,female,23,23,23,3,2,263,S,1,Miss,3,C,C,1
1,male,19,19,19,3,2,263,S,0,Mr,3,C,C,0
1,male,64,64,64,1,4,263,S,0,Mr,3,C,C,0
1,female,60,60,60,1,4,263,S,1,Mrs,3,C,C,1
1,female,30,30,30,0,0,56.9292,C,1,Miss,5,E,E,1
1,male,,46.21419473,42,0,0,26.55,S,0,Mr,4,D,D,0
1,male,50,50,50,2,0,133.65,S,1,rare_title,,C,B,1
1,male,43,43,43,1,0,27.7208,C,1,Mr,4,D,D,1
1,female,,37.40912604,26.5,1,0,133.65,S,1,Mrs,,C,C,1
1,female,22,22,22,0,2,49.5,C,1,Miss,2,B,B,1
1,male,60,60,60,1,1,79.2,C,1,Mr,2,B,B,1
1,female,48,48,48,1,1,79.2,C,1,Mrs,2,B,B,1
1,male,,40.93137099,40,0,0,0,S,0,Mr,2,B,B,0
1,male,37,37,37,1,0,53.1,S,0,Mr,3,C,C,0
1,female,35,35,35,1,0,53.1,S,1,Mrs,3,C,C,1
1,male,47,47,47,0,0,38.5,S,0,Mr,5,E,E,0
1,female,35,35,35,0,0,211.5,C,1,Miss,3,C,C,1
1,female,22,22,22,0,1,59.4,C,1,Miss,,B,B,1
1,female,45,45,45,0,1,59.4,C,1,Mrs,,B,C,1
1,male,24,24,24,0,0,79.2,C,0,Mr,2,B,B,0
1,male,49,49,49,1,0,89.1042,C,1,Mr,3,C,C,1
1,female,,36.22763938,40.4,1,0,89.1042,C,1,Mrs,3,C,C,1
1,male,71,71,71,0,0,34.6542,C,0,Mr,1,A,A,0
1,male,53,53,53,0,0,28.5,C,1,rare_title,3,C,C,1
1,female,19,19,19,0,0,30,S,1,Miss,2,B,B,1
1,male,38,38,38,0,1,153.4625,S,0,Mr,3,C,C,0
1,female,58,58,58,0,1,153.4625,S,1,Mrs,3,C,C,1
1,male,23,23,23,0,1,63.3583,C,1,Mr,4,D,D,1
1,female,45,45,45,0,1,63.3583,C,1,Mrs,4,D,D,1
1,male,46,46,46,0,0,79.2,C,0,Mr,2,B,B,0
1,male,25,25,25,1,0,55.4417,C,1,Mr,5,E,E,1
1,female,25,25,25,1,0,55.4417,C,1,Mrs,5,E,E,1
1,male,48,48,48,1,0,76.7292,C,1,Mr,4,D,D,1
1,female,49,49,49,1,0,76.7292,C,1,Mrs,4,D,D,1
1,male,,45.57972443,47,0,0,42.4,S,0,Mr,,A,D,0
1,male,45,45,45,1,0,83.475,S,0,Mr,3,C,C,0
1,female,35,35,35,1,0,83.475,S,1,Mrs,3,C,C,1
1,male,40,40,40,0,0,0,S,0,Mr,2,B,B,0
1,male,27,27,27,0,0,76.7292,C,1,Mr,4,D,D,1
1,male,,43.54480427,35.8,0,0,30,S,1,Mr,4,D,D,1
1,female,24,24,24,0,0,83.1583,C,1,Miss,3,C,C,1
1,male,55,55,55,1,1,93.5,S,0,Mr,2,B,B,0
1,female,52,52,52,1,1,93.5,S,1,Mrs,2,B,B,1
1,male,42,42,42,0,0,42.5,S,0,Mr,2,B,B,0
1,male,,44.57612899,54,0,0,51.8625,S,0,Mr,5,E,E,0
1,male,55,55,55,0,0,50,S,0,Mr,3,C,C,0
1,female,16,16,16,0,1,57.9792,C,1,Miss,2,B,B,1
1,female,44,44,44,0,1,57.9792,C,1,Mrs,2,B,B,1
1,female,51,51,51,1,0,77.9583,S,1,Mrs,4,D,D,1
1,male,42,42,42,1,0,52,S,0,Mr,,D,D,0
1,female,35,35,35,1,0,52,S,1,Mrs,,C,C,1
1,male,35,35,35,0,0,26.55,C,1,Mr,,C,B,1
1,male,38,38,38,1,0,90,S,1,Mr,3,C,C,1
1,male,,37.52357693,56,0,0,30.6958,C,1,Mr,,C,A,0
1,female,35,35,35,1,0,90,S,1,Mrs,3,C,C,1
1,female,38,38,38,0,0,80,S,1,Miss,2,B,B,1
1,female,50,50,50,0,0,28.7125,C,0,Miss,3,C,C,0
1,male,49,49,49,0,0,0,S,1,Mr,2,B,B,1
1,male,46,46,46,0,0,26,S,0,Mr,,E,D,0
1,male,50,50,50,0,0,26,S,0,Mr,5,E,E,0
1,male,32.5,32.5,32.5,0,0,211.5,C,0,Mr,3,C,C,0
1,male,58,58,58,0,0,29.7,C,0,Mr,2,B,B,0
1,male,41,41,41,1,0,51.8625,S,0,Mr,4,D,D,0
1,female,,38.63247101,44,1,0,51.8625,S,1,Mrs,4,D,D,1
1,male,42,42,42,1,0,52.5542,S,1,Mr,4,D,D,1
1,female,45,45,45,1,0,52.5542,S,1,Mrs,4,D,D,1
1,male,,46.58061304,62,0,0,26.55,S,0,Mr,3,C,C,0
1,female,39,39,39,0,0,211.3375,S,1,Miss,,C,B,1
1,female,49,49,49,0,0,25.9292,S,1,rare_title,4,D,D,1
1,female,30,30,30,0,0,106.425,C,1,Miss,,C,D,1
1,male,35,35,35,0,0,512.3292,C,1,Mr,2,B,B,1
1,male,,41.609228,28.5,0,0,27.7208,C,0,Mr,,A,D,0
1,male,42,42,42,0,0,26.55,S,0,Mr,,D,D,0
1,female,55,55,55,0,0,27.7208,C,1,Mrs,,B,B,1
1,female,16,16,16,0,1,39.4,S,1,Miss,4,D,D,1
1,female,51,51,51,0,1,39.4,S,1,Mrs,4,D,D,1
1,male,29,29,29,0,0,30,S,0,Mr,4,D,D,0
1,female,21,21,21,0,0,77.9583,S,1,Miss,4,D,D,1
1,male,30,30,30,0,0,45.5,S,0,Mr,,A,B,0
1,female,58,58,58,0,0,146.5208,C,0,Miss,2,B,B,1
1,female,15,15,15,0,1,211.3375,S,1,Miss,2,B,B,1
1,male,30,30,30,0,0,26,S,0,Mr,3,C,C,0
1,female,16,16,16,0,0,86.5,S,1,Miss,2,B,B,1
1,male,,37.44125659,27,0,0,29.7,C,1,Mr,3,C,C,1
1,male,19,19,19,1,0,53.1,S,0,Mr,4,D,D,0
1,female,18,18,18,1,0,53.1,S,1,Mrs,4,D,D,1
1,female,24,24,24,0,0,49.5042,C,1,Miss,3,C,C,1
1,male,46,46,46,0,0,75.2417,C,0,Mr,3,C,C,0
1,male,54,54,54,0,0,51.8625,S,0,Mr,5,E,E,0
1,male,36,36,36,0,0,26.2875,S,1,Mr,5,E,E,1
1,male,28,28,28,1,0,82.1708,C,0,Mr,,C,C,0
1,female,,38.06712499,49,1,0,82.1708,C,1,Mrs,,C,D,1
1,male,65,65,65,0,0,26.55,S,0,Mr,5,E,E,0
1,male,44,44,44,2,0,90,Q,0,rare_title,3,C,C,0
1,female,33,33,33,1,0,90,Q,1,Miss,3,C,C,1
1,female,37,37,37,1,0,90,Q,1,Mrs,3,C,C,1
1,male,30,30,30,1,0,57.75,C,1,Mr,3,C,C,1
1,male,55,55,55,0,0,30.5,S,0,Mr,3,C,C,0
1,male,47,47,47,0,0,42.4,S,0,Mr,,C,D,0
1,male,37,37,37,0,1,29.7,C,0,Mr,3,C,C,0
1,female,31,31,31,1,0,113.275,C,1,Miss,4,D,D,1
1,female,23,23,23,1,0,113.275,C,1,Miss,4,D,D,1
1,male,58,58,58,0,2,113.275,C,0,Mr,4,D,D,0
1,female,19,19,19,0,2,26.2833,S,1,Miss,4,D,D,1
1,male,64,64,64,0,0,26,S,0,Mr,,E,D,0
1,female,39,39,39,0,0,108.9,C,1,rare_title,3,C,C,1
1,male,,35.66201005,35,0,0,25.7417,C,1,Mr,,C,B,1
1,female,22,22,22,0,1,61.9792,C,1,Miss,2,B,B,1
1,male,65,65,65,0,1,61.9792,C,0,Mr,2,B,B,0
1,male,28.5,28.5,28.5,0,0,27.7208,C,0,Mr,4,D,D,0
1,male,,40.93137099,39,0,0,0,S,0,Mr,,B,A,0
1,male,45.5,45.5,45.5,0,0,28.5,S,0,Mr,3,C,C,0
1,male,23,23,23,0,0,93.5,S,0,Mr,2,B,B,0
1,male,29,29,29,1,0,66.6,S,0,Mr,3,C,C,0
1,female,22,22,22,1,0,66.6,S,1,Mrs,3,C,C,1
1,male,18,18,18,1,0,108.9,C,0,Mr,3,C,C,0
1,female,17,17,17,1,0,108.9,C,1,Mrs,3,C,C,1
1,female,30,30,30,0,0,93.5,S,1,Miss,2,B,B,1
1,male,52,52,52,0,0,30.5,S,1,rare_title,3,C,C,1
1,male,47,47,47,0,0,52,S,0,Mr,3,C,C,0
1,female,56,56,56,0,1,83.1583,C,1,Mrs,3,C,C,1
1,male,38,38,38,0,0,0,S,0,rare_title,,B,B,0
1,male,,38.27897628,30,0,0,39.6,S,1,Mr,,C,B,1
1,male,22,22,22,0,0,135.6333,C,0,Mr,,C,C,0
1,male,,39.21527066,38.55,0,0,227.525,C,0,Mr,,C,B,0
1,female,43,43,43,0,1,211.3375,S,1,Mrs,2,B,B,1
1,male,31,31,31,0,0,50.4958,S,0,Mr,1,A,A,0
1,male,45,45,45,0,0,26.55,S,1,Mr,,E,E,1
1,male,,45.97379871,31,0,0,50,S,0,Mr,1,A,A,0
1,female,33,33,33,0,0,27.7208,C,1,Miss,1,A,A,1
1,male,46,46,46,0,0,79.2,C,0,Mr,,B,B,0
1,male,36,36,36,0,0,40.125,C,0,Mr,1,A,A,0
1,female,33,33,33,0,0,86.5,S,1,rare_title,2,B,B,1
1,male,55,55,55,1,0,59.4,C,0,Mr,,C,C,0
1,female,54,54,54,1,0,59.4,C,1,Mrs,,C,C,1
1,male,33,33,33,0,0,26.55,S,0,Mr,,C,B,0
1,male,13,13,13,2,2,262.375,C,1,Master,2,B,B,1
1,female,18,18,18,2,2,262.375,C,1,Miss,2,B,B,1
1,female,21,21,21,2,2,262.375,C,1,Miss,2,B,B,1
1,male,61,61,61,1,3,262.375,C,0,Mr,2,B,B,0
1,female,48,48,48,1,3,262.375,C,1,Mrs,2,B,B,1
1,male,,39.78794311,27,0,0,30.5,S,1,Mr,3,C,C,1
1,female,24,24,24,0,0,69.3,C,1,Miss,2,B,B,1
1,male,,43.20844396,37.3,0,0,26,S,1,Mr,,E,E,1
1,female,35,35,35,1,0,57.75,C,1,Mrs,3,C,C,1
1,female,30,30,30,0,0,31,C,1,Miss,,C,B,1
1,male,34,34,34,0,0,26.55,S,1,Mr,,E,E,1
1,female,40,40,40,0,0,153.4625,S,1,Miss,3,C,C,1
1,male,35,35,35,0,0,26.2875,S,1,Mr,5,E,E,1
1,male,50,50,50,1,0,55.9,S,0,Mr,5,E,E,0
1,female,39,39,39,1,0,55.9,S,1,Mrs,5,E,E,1
1,male,56,56,56,0,0,35.5,C,1,rare_title,1,A,A,1
1,male,28,28,28,0,0,35.5,S,1,Mr,1,A,A,1
1,male,56,56,56,0,0,26.55,S,0,Mr,,C,C,0
1,male,56,56,56,0,0,30.6958,C,0,Mr,1,A,A,0
1,male,24,24,24,1,0,60,S,0,Mr,3,C,C,0
1,male,,46.98277668,36.5,0,0,26,S,0,Mr,1,A,A,0
1,female,18,18,18,1,0,60,S,1,Mrs,3,C,C,1
1,male,24,24,24,1,0,82.2667,S,1,Mr,2,B,B,1
1,female,23,23,23,1,0,82.2667,S,1,Mrs,2,B,B,1
1,male,6,6,6,0,2,134.5,C,1,Master,5,E,E,1
1,male,45,45,45,1,1,134.5,C,1,Mr,5,E,E,1
1,female,40,40,40,1,1,134.5,C,1,Mrs,5,E,E,1
1,male,57,57,57,1,0,146.5208,C,0,Mr,2,B,B,0
1,female,,34.9553087,20.4,1,0,146.5208,C,1,Mrs,2,B,B,1
1,male,32,32,32,0,0,30.5,C,1,rare_title,2,B,B,1
1,male,62,62,62,0,0,26.55,S,0,Mr,3,C,C,0
1,male,54,54,54,1,0,55.4417,C,1,Mr,3,C,C,1
1,female,43,43,43,1,0,55.4417,C,1,Mrs,3,C,C,1
1,female,52,52,52,1,0,78.2667,C,1,Mrs,4,D,D,1
1,male,,41.609228,28.5,0,0,27.7208,C,0,Mr,,A,D,0
1,female,62,62,62,0,0,80,S,1,Mrs,2,B,B,1
1,male,67,67,67,1,0,221.7792,S,0,Mr,3,C,C,0
1,female,63,63,63,1,0,221.7792,S,0,Mrs,3,C,C,0
1,male,61,61,61,0,0,32.3208,S,0,Mr,4,D,D,0
1,female,48,48,48,0,0,25.9292,S,1,Mrs,4,D,D,1
1,female,18,18,18,0,2,79.65,S,1,Miss,5,E,E,1
1,male,52,52,52,1,1,79.65,S,0,Mr,5,E,E,0
1,female,39,39,39,1,1,79.65,S,1,Mrs,5,E,E,1
1,male,48,48,48,1,0,52,S,1,Mr,3,C,C,1
1,female,,37.22332351,35,1,0,52,S,1,Mrs,3,C,C,1
1,male,49,49,49,1,1,110.8833,C,0,Mr,3,C,C,0
1,male,17,17,17,0,2,110.8833,C,1,Mr,3,C,C,1
1,female,39,39,39,1,1,110.8833,C,1,Mrs,3,C,C,1
1,female,,46.60544011,57.35,0,0,79.2,C,1,Mrs,,B,D,1
1,male,31,31,31,0,0,28.5375,C,1,Mr,3,C,C,1
1,male,40,40,40,0,0,27.7208,C,0,rare_title,,B,C,0
1,male,61,61,61,0,0,33.5,S,0,Mr,2,B,B,0
1,male,47,47,47,0,0,34.0208,S,0,Mr,4,D,D,0
1,female,35,35,35,0,0,512.3292,C,1,Miss,,B,B,1
1,male,64,64,64,1,0,75.25,C,0,Mr,4,D,D,0
1,female,60,60,60,1,0,75.25,C,1,Mrs,4,D,D,1
1,male,60,60,60,0,0,26.55,S,0,rare_title,,C,B,0
1,male,54,54,54,0,1,77.2875,S,0,Mr,4,D,D,0
1,male,21,21,21,0,1,77.2875,S,0,Mr,4,D,D,0
1,female,55,55,55,0,0,135.6333,C,1,Mrs,3,C,C,1
1,female,31,31,31,0,2,164.8667,S,1,Miss,3,C,C,1
1,male,57,57,57,1,1,164.8667,S,0,Mr,,C,B,0
1,female,45,45,45,1,1,164.8667,S,1,Mrs,,C,C,1
1,male,50,50,50,1,1,211.5,C,0,Mr,3,C,C,0
1,male,27,27,27,0,2,211.5,C,0,Mr,3,C,C,0
1,female,50,50,50,1,1,211.5,C,1,Mrs,3,C,C,1
1,female,21,21,21,0,0,26.55,S,1,Miss,,B,C,1
1,male,51,51,51,0,1,61.3792,C,0,Mr,,B,B,0
1,male,21,21,21,0,1,61.3792,C,1,Mr,,D,D,1
1,male,,46.67965689,53.2,0,0,35,S,0,Mr,3,C,C,0
1,female,31,31,31,0,0,134.5,C,1,Miss,5,E,E,1
1,male,,38.18503183,27.2,0,0,35.5,S,1,Mr,3,C,C,1
1,male,62,62,62,0,0,26.55,S,0,Mr,,C,C,0
